ID,Warehouse_block ,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,C, Ship,2,2,135,3,low,M,,1339,1
2,F, Flight,5,3,225,5,low,F,6,1082,0
3,F, Ship,3,1,229,3,low,M,,4971,1
4,F, Ship,3,2,228,,medium,M,2,5640,0
5,D, Flight,,1,195,6,high,F,,4944,1
6,B, Ship,4,5,171,3,low,F,,1683,1
7,A, Ship,6,3,282,4,low,M,9,1417,1
8,F, Flight,5,2,161,3,low,M,,5804,1
9,F, Ship,,1,274,4,low,M,3,5979,0
10,C, Ship,5,4,222,3,low,M,,5555,0
11,B, Ship,5,4,264,10,medium,F,34,2960,1
12,F, Ship,4,1,196,,low,F,3,5496,0
13,F, Ship,4,2,232,,high,M,,2835,1
14,C, Road,3,4,232,5,medium,M,,5653,1
15,F, Ship,,3,194,3,low,F,,4331,0
16,B,?,5,5,161,3,high,F,7,5338,1
17,B, Flight,5,1,207,,low,F,,4112,0
18,B, Ship,,1,228,2,low,F,2,5435,0
19,A, Flight,5,2,146,3,low,F,7,4524,1
20,C, Flight,3,4,221,3,low,F,1,4518,1
21,C, Ship,5,5,134,2,medium,M,53,1088,1
22,C, Flight,,3,254,2,low,M,,5546,0
23,F, Ship,3,5,160,,low,F,,4106,0
24,C,?,4,2,273,2,low,F,,2229,1
25,A, Flight,4,3,142,2,low,F,,5502,1
26,A, Ship,4,4,224,2,low,F,8,5754,1
27,F, Ship,3,3,253,5,low,F,63,3788,1
28,F, Road,4,3,209,3,medium,M,,4104,1
29,F, Ship,,5,196,3,medium,M,,3722,1
30,F, Ship,6,5,135,5,low,M,,1078,1
31,D, Road,,4,196,2,low,F,6,2718,1
32,F, Ship,6,2,247,4,low,M,,1556,0
33,F, Road,,2,239,5,?,F,6,1310,1
34,D, Ship,6,1,254,4,low,F,,1071,0
35,B, Road,3,5,195,,low,F,4,4864,0
36,D, Ship,5,4,273,3,medium,F,,5672,1
37,F, Road,6,2,215,5,low,F,,4057,0
38,D, Flight,4,2,177,,low,F,,1233,1
39,A, Ship,3,3,189,3,medium,F,,5896,1
40,A, Ship,,1,215,4,low,F,,3905,1
41,B, Ship,5,2,160,4,medium,M,43,1479,1
42,C, Flight,,1,139,3,?,M,,5632,0
43,F, Ship,,2,184,,low,F,63,3609,1
44,C, Flight,,1,121,5,low,F,60,1577,1
45,F, Ship,5,4,133,3,low,M,9,1051,1
46,D, Flight,,1,158,3,medium,F,51,1540,1
47,B, Ship,6,2,286,4,low,F,4,1594,0
48,D, Ship,,2,281,4,high,F,5,?,1
49,A, Ship,7,2,261,4,medium,M,9,1918,1
50,F, Ship,3,4,214,,low,M,10,4794,0
51,F, Road,3,5,158,3,low,M,10,4861,0
52,C, Ship,3,2,180,,medium,M,55,1165,1
53,C, Ship,4,3,169,2,low,M,2,1399,1
54,D, Ship,5,3,225,7,medium,F,17,3516,1
55,F, Ship,6,4,280,4,low,M,,1831,1
56,A, Ship,4,2,166,3,low,M,62,1944,1
57,F, Road,,5,172,3,medium,M,1,5024,1
58,B, Ship,,5,280,3,low,M,9,4074,1
