ID,Reached.on.Time_Y.N
7000,0
7001,1
7002,0
7003,1
7004,0
7005,1
7006,0
7007,1
7008,1
7009,1
7010,0
7011,0
7012,0
7013,1
7014,1
7015,0
7016,0
7017,0
7018,0
7019,0
7020,0
7021,0
7022,1
7023,1
7024,1
7025,1
7026,0
7027,1
7028,0
7029,0
7030,1
7031,1
7032,0
7033,1
7034,0
7035,0
7036,0
7037,0
7038,1
7039,1
7040,0
7041,1
7042,1
7043,0
7044,0
7045,1
7046,0
7047,1
7048,1
7049,1
7050,1
7051,1
7052,0
7053,0
7054,1
7055,0
7056,0
7057,0
7058,0
7059,0
7060,1
7061,0
7062,1
7063,1
7064,0
7065,0
7066,1
7067,1
7068,1
7069,0
7070,0
7071,1
7072,1
7073,1
7074,0
7075,1
7076,1
7077,0
7078,0
7079,1
7080,0
7081,1
7082,1
7083,0
7084,1
7085,0
7086,0
7087,1
7088,0
7089,1
7090,0
7091,1
7092,0
7093,1
7094,0
7095,0
7096,1
7097,0
7098,0
7099,0
7100,1
7101,1
7102,0
7103,1
7104,1
7105,1
7106,1
7107,1
7108,1
7109,1
7110,1
7111,0
7112,0
7113,1
7114,0
7115,1
7116,0
7117,0
7118,0
7119,1
7120,0
7121,0
7122,1
7123,0
7124,1
7125,0
7126,0
7127,0
7128,1
7129,1
7130,0
7131,0
7132,1
7133,1
7134,1
7135,0
7136,0
7137,1
7138,0
7139,0
7140,0
7141,1
7142,1
7143,0
7144,0
7145,1
7146,1
7147,1
7148,0
7149,1
7150,0
7151,0
7152,0
7153,1
7154,0
7155,1
7156,0
7157,1
7158,0
7159,0
7160,0
7161,1
7162,1
7163,0
7164,1
7165,1
7166,1
7167,1
7168,1
7169,1
7170,1
7171,0
7172,0
7173,0
7174,1
7175,0
7176,1
7177,0
7178,0
7179,0
7180,0
7181,0
7182,1
7183,0
7184,1
7185,0
7186,0
7187,0
7188,0
7189,1
7190,0
7191,0
7192,1
7193,1
7194,0
7195,0
7196,1
7197,0
7198,0
7199,1
7200,0
7201,0
7202,0
7203,1
7204,0
7205,0
7206,1
7207,0
7208,0
